Time,Temperature,GRAWX,GRAWY,GRAWZ,GACCELX,GACCELY,GACCELZ
0.125,-18.11594,1.068702,-0.7633588,-0.4122137,0.007182861,-10.01889,-0.3854802
157,-18.59903,1.725191,-0.9160305,-0.519084,0.005985718,-10.02488,-0.3627345
329.625,-18.35749,1.114504,-0.5648855,-0.3053435,0.1077429,-10.00213,-0.3507631
517.125,-18.23672,1.328244,-0.6259542,-0.3358779,0.04908289,-10.00692,-0.3483688
610.5,-18.2971,1.236641,-0.7175573,-0.5648855,0.06464575,-9.939883,-0.3591431
828.75,-18.41788,1.51145,-0.9007633,-0.4732825,0.09577148,-10.02129,-0.3854802
926.625,-18.23672,1.587786,-0.7328244,-0.3358779,0.09577148,-10.08115,-0.4166059
1126,-18.2971,0.870229,-0.778626,-0.2290076,0.1640087,-10.08474,-0.3483688
1252.75,-18.53865,0.870229,-0.961832,-0.610687,0.08020861,-9.969811,-0.3196373
1438.75,-18.71981,1.740458,-0.7938932,-0.6412214,-0.01795715,-10.02967,-0.4070288
1641.625,-18.53865,1.450382,-0.6870229,-0.2900763,0.0658429,-10.00094,-0.3759031
1832.125,-18.35749,1.816794,-0.6259542,-0.4580153,0.07302576,-10.00213,-0.3639316
1923,-18.35749,1.007634,-0.610687,-0.2900763,0.1376715,-9.992558,-0.3136516
2142.75,-18.11594,1.587786,-0.7938932,-0.519084,-0.03112573,-10.04403,-0.3986488
2329.25,-18.59903,1.312977,-0.5801527,-0.5038168,0.08978577,-10.00573,-0.3806916
2423.125,-18.23672,0.5954198,-0.7480916,-0.4427481,0.1173201,-9.9746,-0.4058317
2626,-18.53865,1.374046,-0.519084,-0.5801527,0.1304886,-9.968615,-0.3280173
2751.25,-18.2971,1.526718,-0.870229,-0.4274809,0.03591431,-10.04284,-0.3723117
2954.125,-18.41788,1.282443,-0.8396947,-0.4274809,0.09936292,-9.988966,-0.3184402
3142.125,-18.17633,1.083969,-0.9160305,-0.2442748,0.0742229,-9.986571,-0.3771002
3238.5,-18.17633,1.328244,-0.7480916,-0.7328244,-0.004788574,-10.00213,-0.4034374
3454.25,-18.11594,0.610687,-0.7938932,-0.5343512,-0.0191543,-9.996149,-0.3723117
3548.125,-18.2971,1.145038,-0.9007633,-0.3358779,-0.02633716,-9.965023,-0.3435802
3737.125,-18.35749,1.557252,-0.6259542,-0.5801527,0.1328829,-10.03565,-0.3986488
3923.125,-18.59903,1.572519,-0.8854962,-0.3664122,0.01556287,-10.00453,-0.3711145
4141.375,-18.35749,1.206107,-0.8396947,-0.3206107,0,-10.04164,-0.3926631
4266.625,-18.41788,1.114504,-0.8091603,-0.3969466,0.09218005,-10.00692,-0.3866774
4454.125,-18.35749,1.389313,-0.7175573,-0.5801527,0.02633716,-10.0596,-0.3818888
4563.375,-18.41788,0.7633588,-0.9923664,-0.4427481,0.1101372,-9.912349,-0.3962545
4766.25,-18.41788,1.328244,-0.7480916,-0.519084,0.003591431,-9.925517,-0.3064688
4953.75,-18.53865,1.251908,-0.7175573,-0.4122137,0.009577149,-10.10988,-0.3854802
5047.625,-18.2971,1.664122,-0.5648855,-0.4885496,0.1053486,-10.00692,-0.4190002
5265.875,-18.35749,1.19084,-0.6870229,-0.5496183,0.1412629,-10.00094,-0.3352002
5375.75,-18.23672,0.9465649,-0.6870229,-0.5496183,0.02154858,-9.984178,-0.3459745
5563.25,-18.41788,1.129771,-0.6564885,-0.2748092,-0.02873144,-9.933897,-0.3507631
